stt,date,Latitude,Longitude,density,class
117,4/28/2019,41.730457,-87.682356,1979,Normal
118,4/29/2019,41.712676,-87.68181,1322,Normal
119,4/30/2019,41.699963,-87.681415,859,Sparse
120,5/1/2019,41.79459,-87.684058,856,Sparse
121,5/2/2019,41.71675,-87.585043,911,Sparse
122,5/3/2019,41.755119,-87.586125,1353,Normal
123,5/4/2019,41.740553,-87.58573,987,Sparse
124,5/5/2019,41.724124,-87.585159,664,Sparse
125,5/6/2019,41.745515,-87.585819,622,Sparse
126,5/7/2019,41.769698,-87.586238,1093,Normal
127,5/8/2019,41.792127,-87.586689,1029,Normal
128,5/9/2019,41.72824,-87.552415,746,Sparse
129,5/10/2019,41.728253,-87.550704,524,Sparse
130,5/11/2019,41.714033,-87.657301,738,Sparse
131,5/12/2019,41.713939,-87.664213,308,Sparse
132,5/13/2019,41.713352,-87.558074,14963,Crowded
133,5/14/2019,41.713772,-87.54362,14801,Crowded
134,5/15/2019,41.720702,-87.536499,1112,Normal
135,5/16/2019,41.711118,-87.536485,597,Sparse
136,5/17/2019,41.719205,-87.662247,328,Sparse
137,5/18/2019,41.713044,-87.668914,371,Sparse
138,5/19/2019,41.729262,-87.541841,1788,Normal
139,5/20/2019,41.732854,-87.542962,544,Sparse
140,5/21/2019,41.764222,-87.566483,540,Sparse
141,5/22/2019,41.779224,-87.680473,316,Sparse
142,5/23/2019,41.779519,-87.661134,544,Sparse
143,5/24/2019,41.779852,-87.638388,355,Sparse
144,5/25/2019,41.780078,-87.621062,452,Sparse
145,5/26/2019,41.773084,-87.608939,702,Sparse
146,5/27/2019,41.773298,-87.589932,324,Sparse
147,5/28/2019,41.773376,-87.582603,328,Sparse
148,5/29/2019,41.758155,-87.629625,1161,Normal
149,5/30/2019,41.758265,-87.622945,215,Sparse
150,5/31/2019,41.758455,-87.612457,14401,Crowded
151,6/1/2019,41.758814,-87.581651,13521,Crowded
152,6/2/2019,41.755721,-87.671249,13645,Crowded
153,6/3/2019,41.756101,-87.642566,12073,Crowded
154,6/4/2019,41.756542,-87.617335,7561,Normal
155,6/5/2019,41.756617,-87.613108,8157,Crowded
156,6/6/2019,41.756982,-87.582699,7710,Normal
157,6/7/2019,41.749936,-87.695059,10077,Crowded
158,6/8/2019,41.750449,-87.657022,12250,Crowded
159,6/9/2019,41.750534,-87.651099,11479,Crowded
160,6/10/2019,41.750722,-87.638461,10279,Crowded
161,6/11/2019,41.75097,-87.623726,12014,Crowded
162,6/12/2019,41.750997,-87.621988,10065,Crowded
163,6/13/2019,41.75131,-87.603145,300,Sparse
164,6/14/2019,41.751849,-87.557322,90,Sparse
165,6/15/2019,41.74303,-87.666333,310,Sparse
166,6/16/2019,41.743249,-87.651157,411,Sparse
167,6/17/2019,41.743649,-87.624723,2109,Normal
168,6/18/2019,41.743855,-87.612049,1762,Normal
169,6/19/2019,41.744106,-87.593706,1531,Normal
170,6/20/2019,41.744086,-87.595315,1851,Normal
171,6/21/2019,41.744615,-87.554455,333,Sparse
172,6/22/2019,41.744682,-87.549764,5938,Normal
173,6/23/2019,41.735742,-87.666475,5983,Normal
174,6/24/2019,41.735844,-87.659417,298,Sparse
175,6/25/2019,41.73606,-87.644455,661,Sparse
176,6/26/2019,41.73604,-87.638359,8211,Crowded
177,6/27/2019,41.736013,-87.63131,2919,Normal
178,6/28/2019,41.736399,-87.621325,2138,Normal
179,6/29/2019,41.736694,-87.601489,1729,Normal
180,6/30/2019,41.737079,-87.574126,1323,Normal
181,7/1/2019,41.737414,-87.548768,7036,Normal
182,7/2/2019,41.721037,-87.675323,10971,Crowded
183,7/3/2019,41.721119,-87.669564,3724,Normal
184,7/4/2019,41.721324,-87.653942,4680,Normal
185,7/5/2019,41.721409,-87.647429,4294,Normal
186,7/6/2019,41.721622,-87.631298,3616,Normal
187,7/7/2019,41.721659,-87.628777,3586,Normal
188,7/8/2019,41.721813,-87.618662,2402,Normal
189,7/9/2019,41.722153,-87.597339,463,Sparse
190,7/10/2019,41.722499,-87.572943,3085,Normal
191,7/11/2019,41.722916,-87.538794,13159,Crowded
192,7/12/2019,41.706991,-87.63698,11642,Crowded
193,7/13/2019,41.707125,-87.626548,8889,Crowded
194,7/14/2019,41.70726,-87.617296,7494,Normal
195,7/15/2019,41.707533,-87.600985,12801,Crowded
196,7/16/2019,41.764998,-87.60436,1349,Normal
197,7/17/2019,41.793839,-87.681286,114,Sparse
198,7/18/2019,41.793942,-87.671875,83,Sparse
199,7/19/2019,41.794746,-87.619558,9821,Crowded
200,7/20/2019,41.794582,-87.629567,9482,Crowded
201,7/21/2019,41.863965,-87.661484,306,Sparse
202,7/22/2019,41.855898,-87.661264,113,Sparse
203,7/23/2019,41.80202,-87.659934,152,Sparse
204,7/24/2019,41.790122,-87.65963,3372,Normal
205,7/25/2019,41.773201,-87.659191,1310,Normal
206,7/26/2019,41.77126,-87.659138,1506,Normal
207,7/27/2019,41.752036,-87.658628,2127,Normal
208,7/28/2019,41.744631,-87.658435,5620,Normal
209,7/29/2019,41.86852,-87.656729,4108,Normal
210,7/30/2019,41.864029,-87.656597,3560,Normal
211,7/31/2019,41.829325,-87.655686,1897,Normal
212,8/1/2019,41.813903,-87.655287,2019,Normal
213,8/2/2019,41.798563,-87.654979,1778,Normal
214,8/3/2019,41.780185,-87.654517,1854,Normal
215,8/4/2019,41.772,-87.654299,1877,Normal
216,8/5/2019,41.76448,-87.6541,1879,Normal
217,8/6/2019,41.753377,-87.653813,368,Sparse
218,8/7/2019,41.744158,-87.653566,421,Sparse
219,8/8/2019,41.857573,-87.683337,421,Sparse
220,8/9/2019,41.85774,-87.632821,1743,Normal
221,8/10/2019,41.857869,-87.624476,1534,Normal
222,8/11/2019,41.85789,-87.622993,1614,Normal
223,8/12/2019,41.837991,-87.650405,1444,Normal
224,8/13/2019,41.837927,-87.655,1418,Normal
225,8/14/2019,41.838196,-87.634756,360,Sparse
226,8/15/2019,41.838289,-87.627562,257,Sparse
227,8/16/2019,41.838373,-87.621143,897,Sparse
228,8/17/2019,41.830303,-87.682868,897,Sparse
229,8/18/2019,41.830382,-87.67602,7743,Normal
230,8/19/2019,41.830598,-87.657426,1484,Normal
231,8/20/2019,41.830843,-87.639107,1457,Normal
232,8/21/2019,41.831081,-87.619334,821,Sparse
233,8/22/2019,41.831199,-87.613631,683,Sparse
234,8/23/2019,41.815858,-87.666235,159,Sparse
235,8/24/2019,41.815847,-87.661488,2488,Normal
